DateTime,Temperature_C,Specific Cond_mS/cm,pH_pH,Optical DO_%,Optical DO_mg/l
2022-06-08T22:00:00Z,16.227,0.1904,7.73,92.5858,9.0907
2022-06-08T22:30:00Z,16.16,0.1899,7.715,91.8472,9.0309
2022-06-08T23:00:00Z,16.101,0.1896,7.697,91.1926,8.9779
2022-06-08T23:30:00Z,16.047,0.1898,7.681,90.8318,8.9526
2022-06-09T00:00:00Z,15.993,0.1901,7.67,90.3114,8.9115
2022-06-09T00:30:00Z,15.938,0.1898,7.657,89.8331,8.8747
2022-06-09T01:00:00Z,15.887,0.1889,7.645,89.447,8.8462
2022-06-09T01:30:00Z,15.823,0.1888,7.637,89.1365,8.8273
2022-06-09T02:00:00Z,15.758,0.1883,7.622,88.9435,8.8204
2022-06-09T02:30:00Z,15.681,0.1878,7.618,88.7085,8.8117
2022-06-09T03:00:00Z,15.613,0.1876,7.608,88.3057,8.7844
2022-06-09T03:30:00Z,15.565,0.1867,7.602,88.3308,8.7959
2022-06-09T04:00:00Z,15.519,0.1858,7.608,88.0623,8.7777
2022-06-09T04:30:00Z,15.473,0.1854,7.596,88.0371,8.784
2022-06-09T05:00:00Z,15.428,0.1848,7.591,87.9951,8.7883
2022-06-09T05:30:00Z,15.393,0.184,7.597,88.4399,8.8393
