taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus koreanus	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Liparidae	Sea snails	3.25
Animalia;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes steindachneri	Yellow body rockfish	0.81
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bison;Bison bonasus	""	1.63
Animalia;Chordata;Aves;Anseriformes;Anatidae	""	0.81
Animalia;Chordata;Aves;Strigiformes	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycodes	Eelpouts	0.81
Animalia;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus macrocephalus	""	0.81
Animalia;Chordata;Actinopteri;NA;Embiotocidae;Micrometrus;Micrometrus minimus	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cyclopteridae	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Artedius	Bullheads	4.88
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycozoarces;Lycozoarces regani	""	0.81
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;Ovis canadensis	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Stichaeus;Stichaeus punctatus	""	0.81
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Glyptocephalus;Glyptocephalus stelleri	""	1.63
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Herklotsichthys;Herklotsichthys quadrimaculatus	""	0.81
Animalia;Chordata;Mammalia;Eulipotyphla	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycodopsis;Lycodopsis pacificus	Eelpouts	0.81
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Kareius;Kareius bicoloratus	Ishigarei	0.81
Animalia;Chordata;Actinopteri;NA;Polynemidae;Eleutheronema	""	0.81
Animalia;Chordata;Mammalia;Carnivora;Phocidae;Phoca	Hair seals	1.63
Animalia;Chordata;Actinopteri;Cypriniformes;Nemacheilidae;Barbatula;Barbatula barbatula	European Stone Loach	0.81
Animalia;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;Arctocephalus forsteri	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Chirolophis	Warbonnets	0.81
Animalia;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus	Alaska pollock	0.81
Animalia;Chordata;Mammalia;Artiodactyla;Balaenopteridae;Balaenoptera	Japanese lanterns	0.81
Animalia;Chordata;Mammalia;Diprotodontia	""	0.81
Animalia;Chordata;Mammalia;Chiroptera;Hipposideridae;Hipposideros	Roundleaf bat	0.81
Animalia;Chordata;Actinopteri;Perciformes;Psychrolutidae;Malacocottus	""	3.25
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Bero;Bero elegans	Elegant sculpin	2.44
Animalia;Chordata;Actinopteri;Aulopiformes	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae;Hexagrammos;Hexagrammos stelleri	Whitespotted greenling	0.81
Animalia;Chordata;Actinopteri;Cypriniformes;Cobitidae	""	0.81
Animalia;Chordata;Chondrichthyes;Chimaeriformes;Rhinochimaeridae;Harriotta;Harriotta raleighana	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae;Pleurogrammus;Pleurogrammus monopterygius	""	1.63
Animalia;Chordata;Actinopteri;Perciformes;Agonidae	""	0.81
Animalia;Chordata;Actinopteri;Pleuronectiformes;Scophthalmidae;Scophthalmus;Scophthalmus rhombus	""	0.81
Animalia;Chordata;Actinopteri;Anabantiformes	""	1.63
