taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Chondrichthyes;Squaliformes	Dogfish sharks	3.31
Animalia;Chordata;Mammalia;Carnivora;Felidae;Panthera;Panthera pardus	Leopard	2.48
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Hippoglossoides	Right-eye flounders	2.48
Animalia;Chordata;Mammalia;Primates;Hominidae;Pongo;Pongo pygmaeus	Bornean Orangutan	9.09
Animalia;Chordata;Mammalia;Carnivora	Carnivores	19.01
Animalia;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Erimonax;Erimonax monachus	Spotfin Chub	0.83
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus	Pacific salmon	14.88
Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Euryoryzomys;Euryoryzomys sp. ALA-2015	Hamsters, Voles, Lemmings, And Allies	4.96
Animalia;Chordata;Actinopteri;Perciformes;Agonidae	Alligatorfishes	3.31
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae	Salmonids	7.44
Animalia;Chordata;Actinopteri;Perciformes;Peristediidae	Armour searobins	2.48
Animalia;Chordata;Actinopteri;Perciformes;Agonidae;Stellerina;Stellerina xyosterna	Pixie poacher	0.83
Animalia;Chordata;Actinopteri;Perciformes;Cottidae	Bullheads	13.22
Animalia;Chordata;Actinopteri;Clupeiformes	Anchovies	14.88
Animalia;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;Lutjanus fulvus	Black-tail Snapper	4.96
Animalia;Chordata;Actinopteri;Perciformes;Triglidae	Gurnard	4.96
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sauvagella	Hering	3.31
Animalia;Chordata;Aves;Columbiformes;Columbidae	Dove	5.79
Animalia;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus	Snappers	6.61
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae	Eelpouts	1.65
Animalia;Chordata;Amphibia;Gymnophiona;Siphonopidae	Caecilians	10.74
Animalia;Chordata;Mammalia;Eulipotyphla;Soricidae;Sylvisorex	Shrew	1.65
Animalia;Chordata;Mammalia;Artiodactyla	Artiodactyls	25.62
Animalia;Chordata;Aves;Gruiformes;Gruidae	Cranes	3.31
Animalia;Chordata;Actinopteri;Cypriniformes;Gobionidae	Minnows	1.65
Animalia;Chordata;Mammalia;Chiroptera;Pteropodidae;Balionycteris;Balionycteris maculata	Bornean Spotted-winged Fruit Bat	1.65
Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Microtus;Microtus subterraneus	Common Pine Vole	7.44
Animalia;Chordata;Aves;Galliformes	Fowls	7.44
Animalia;Chordata;Actinopteri;Cypriniformes;Leuciscidae	Minnows	3.31
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae	Greenlings	3.31
Animalia;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae	Sand-eels	10.74
Animalia;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus	Groupers	4.13
Animalia;Chordata;Aves;Pelecaniformes;Sulidae;Sula;Sula sula	Boobies	1.65
Animalia;Chordata;Actinopteri;Centrarchiformes	Chordates	0.83
Animalia;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo	Domestic Turkey	6.61
Animalia;Chordata;Mammalia;Artiodactyla;Platanistidae;Platanista	Ganges dolphins	1.65
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae	Right-eye flounders	4.96
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea	Hering	24.79
Animalia;Chordata;Mammalia;Primates;Hominidae;Gorilla;Gorilla gorilla	Lowland Gorilla	12.4
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis	Gunnels	7.44
Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Neotoma	Packrats	7.44
Animalia;Chordata;Chondrichthyes;Squaliformes;Squalidae;Squalus	Spiny dogfish	2.48
Animalia;Chordata;Mammalia;Primates;Lemuridae;Eulemur	Brown lemurs	10.74
Animalia;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Lepomis	Common sunfishes	3.31
Animalia;Chordata;Mammalia;Primates;Galagidae;Galago;Galago senegalensis	Kenya Lesser Galago (braccatus)	4.96
Animalia;Chordata;Mammalia;Rodentia;Sciuridae	Chipmunks	5.79
