Region_ID,Region_name,Region_class,Process_ID,TAST_Status,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_2D_mean_unsmoothed,Speed_4D_mean_unsmoothed,Speed_2D_max_unsmoothed,Speed_4D_max_unsmoothed,Direction_horizontal,Direction_vertical,Fish_track_change_in_range,Time_in_beam,Tortuosity_2D,Tortuosity_3D,Distance_2D_unsmoothed,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
17,Region 17,Unclassified regions,108,ON,0.408524,3147,3198,0,20230531, 03:43:47.7450,999,999,167437623.3,40,81.520728,7.059139,0.729115,0.9099,1.523368,1.581706,0,-90,4.313873,5.923,1.001084,1.213991,4.318551,5.3896,0.408524,-9999,5.418476,7.06847,3.102276,3.966194,-9999,-9999,-9999,-9999,-9999,-9999
18,Region 18,Unclassified regions,107,ON,0.371256,460,483,0,20230531, 12:08:01.6170,999,999,25638803.28,23,77.158258,2.825555,0.170901,0.7627,0.568169,3.016697,0,90,-0.43636,2.579,1.010068,1.03061,0.440753,1.967,0.371256,-9999,2.49606,3.030602,1.852603,-1.177319,-9999,-9999,-9999,-9999,-9999,-9999
20,Region 20,Unclassified regions,106,ON,0.337997,2802,2832,0,20230531, 13:07:00.4250,999,999,112249898.5,24,85.037127,6.796891,0.14736,0.4669,0.437662,1.0416,0,90,-0.429735,3.53,1.210473,1.177403,0.520182,1.6481,0.337997,-9999,6.722323,6.85602,6.540079,-0.218773,-9999,-9999,-9999,-9999,-9999,-9999
21,Region 21,Unclassified regions,105,ON,0.431136,2058,2087,0,20230531, 13:52:24.7960,999,999,267610024.4,26,86.034476,6.811914,0.317736,1.2799,0.582265,8.904109,0,-90,1.054247,3.318,1,1.833364,1.054247,4.2468,0.431136,-9999,6.434323,7.205722,5.469573,1.736148,-9999,-9999,-9999,-9999,-9999,-9999
23,Region 23,Unclassified regions,105,ON,0.513435,2500,2564,0,20230531, 13:53:17.9800,999,999,3551496384,62,98.107792,16.726556,0.600228,2.3872,1.235985,21.905265,0,90,-4.453094,7.419,1,1.464719,4.453094,17.7107,0.513435,-9999,14.871609,19.1422,10.275108,-8.867092,-9999,-9999,-9999,-9999,-9999,-9999
24,Region 24,Unclassified regions,104,ON,0.335218,2763,2801,0,20230531, 14:01:47.3240,999,999,1.00682E+12,36,123.518467,31.612265,0.909246,1.7186,2.275637,3.841519,0,90,-4.041598,4.445,1,1.03963,4.041598,7.6394,0.335218,-9999,25.156887,28.308436,21.354608,-6.953828,-9999,-9999,-9999,-9999,-9999,-9999
28,Region 28,Unclassified regions,103,ON,0.282065,1298,1523,0,20230531, 14:31:01.4320,999,999,2913793012,123,96.00648,18.974337,0.304713,4.3771,3.82488,163.629485,0,-90,-1.280849,26.114,6.212511,6.213501,7.957287,114.3046,0.282065,-9999,17.653568,19.343955,14.309582,1.513911,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,89,ON,0.350178,1159,1219,0,20230531, 14:54:52.0150,999,999,1022020580,52,91.455277,15.918276,0.655487,10.8437,2.168176,122.961951,0,90,-1.347885,7.04,3.423609,54.899642,4.61463,76.3399,0.350178,-9999,14.923078,16.841958,12.102877,-1.38982,-9999,-9999,-9999,-9999,-9999,-9999
33,Region 33,Unclassified regions,102,ON,0.321154,2948,3155,0,20230605, 23:39:01.1490,999,999,1079872119,139,92.287461,13.537402,0.316464,2.922,2.752533,175.756052,0,-90,3.482089,22.948,2.08559,19.239763,7.26221,67.0552,0.321154,-9999,11.746271,13.558596,9.163425,2.852106,-9999,-9999,-9999,-9999,-9999,-9999
1,Region 1,Unclassified regions,101,ON,0.306427,2484,2560,0,20230605, 23:50:44.6640,999,999,1.64822E+11,63,112.924796,25.493509,0.405585,1.2452,0.866326,5.917932,0,-90,3.36169,8.331,1.005127,1.261682,3.378926,10.3736,0.306427,-9999,24.655525,25.305998,23.744167,1.319337,-9999,-9999,-9999,-9999,-9999,-9999
18,Region 18,Unclassified regions,174,ON,0.328171,1970,2227,0,20230606, 12:33:00.8830,999,999,84322160.16,192,78.704739,9.667564,0.292972,1.0151,0.805768,11.508971,0,90,-2.400856,27.967,3.412765,1.69811,8.193557,28.3886,0.328171,-9999,8.485593,9.892807,7.452025,-1.82191,-9999,-9999,-9999,-9999,-9999,-9999
9,Region 9,Unclassified regions,88,ON,0.601983,4462,4487,0,20230606, 13:27:21.8190,999,999,280106783.7,26,86.388813,6.940738,0.596384,1.3047,3.243872,6.608237,0,90,-0.24125,2.731,6.751208,1.943583,1.628726,3.5633,0.601983,-9999,5.536926,6.019173,4.733113,-1.28606,-9999,-9999,-9999,-9999,-9999,-9999
7,Region 7,Unclassified regions,99,ON,0.406222,232,529,0,20230606, 13:28:05.6330,999,999,288976567,249,86.449808,9.708153,0.419589,3.2862,3.576939,123.348134,0,-90,5.187426,32.364,2.617788,17.304037,13.579581,106.3555,0.406222,-9999,8.888287,11.68142,5.667782,3.266964,-9999,-9999,-9999,-9999,-9999,-9999
10,Region 10,Unclassified regions,98,ON,0.4041,2581,2820,0,20230606, 14:09:23.4580,999,999,42246125220,205,106.056479,18.321277,0.794604,1.4763,2.779769,40.000118,0,90,-20.808299,26.187,1,1.66905,20.808299,38.66,0.4041,-9999,15.309365,19.435719,5.405544,-14.030175,-9999,-9999,-9999,-9999,-9999,-9999
12,Region 12,Unclassified regions,97,ON,0.378393,0,161,0,20230606, 14:25:13.0540,999,999,189998022.3,75,86.633592,7.03732,0.27478,0.8054,1.39683,8.158122,0,90,-4.219608,18.138,1.181141,1.470218,4.983952,14.6082,0.378393,-9999,5.994754,6.590779,4.243198,-2.256445,-9999,-9999,-9999,-9999,-9999,-9999
14,Region 14,Unclassified regions,97,ON,0.469946,416,517,0,20230606, 14:25:56.2680,999,999,154437852.5,90,83.834826,5.111501,0.638872,1.1523,3.266178,6.349982,0,90,-4.980229,11.195,1.436112,2.439386,7.152168,12.9001,0.469946,-9999,4.654077,8.129745,3.210584,-4.733871,-9999,-9999,-9999,-9999,-9999,-9999
16,Region 16,Unclassified regions,97,ON,0.476519,558,595,0,20230606, 14:26:08.3700,999,999,185512871,38,84.299617,6.149694,0.475589,1.271,1.53096,5.905083,0,-90,-0.514628,4.096,3.785281,1.902074,1.948013,5.2061,0.476519,-9999,5.651655,6.156897,4.819285,0.583308,-9999,-9999,-9999,-9999,-9999,-9999
18,Region 18,Unclassified regions,97,ON,0.382994,1008,1080,0,20230606, 14:26:59.9040,999,999,422302729.8,50,85.136269,7.787139,0.543239,1.9665,1.854269,38.053409,0,-90,2.610648,7.827,1.628688,3.059923,4.25193,15.3921,0.382994,-9999,6.523371,7.92987,5.572105,0.125399,-9999,-9999,-9999,-9999,-9999,-9999
19,Region 19,Unclassified regions,97,ON,0.412895,1196,1248,0,20230606, 14:27:19.4690,999,999,130594964.9,41,83.796305,3.900982,0.323182,0.9865,0.90336,6.611467,0,90,-1.605973,5.768,1.160738,2.211865,1.864114,5.6902,0.412895,-9999,3.542064,4.04008,3.051827,-0.625076,-9999,-9999,-9999,-9999,-9999,-9999
10,Region 10,Unclassified regions,87,ON,0.515673,1048,1081,0,20230606, 15:09:37.1600,999,999,135032069.6,34,84.920201,10.463188,0.974208,1.014,1.863198,1.908542,0,90,-3.523709,3.617,1,1.037469,3.523709,3.6677,0.515673,-9999,7.470103,8.549433,5.8474,-2.675382,-9999,-9999,-9999,-9999,-9999,-9999
20,Region 20,Unclassified regions,96,ON,0.373574,1162,1262,0,20230606, 15:16:50.9080,999,999,20278961.14,60,78.111083,6.255739,0.529428,1.0517,1.946287,8.813344,0,-90,3.822238,11.016,1.525853,2.987358,5.832175,11.585,0.373574,-9999,5.613175,6.828223,2.578188,3.876677,-9999,-9999,-9999,-9999,-9999,-9999
23,Region 23,Unclassified regions,96,ON,0.54129,2168,2218,0,20230606, 15:18:38.2300,999,999,96920310.62,50,81.656182,7.306518,0.612458,0.9192,3.216119,7.025772,0,90,-2.050886,5.502,1.643067,1.417825,3.369742,5.0576,0.54129,-9999,7.240685,8.368478,6.248043,-2.049196,-9999,-9999,-9999,-9999,-9999,-9999
