taxonomy,number_of_samples_observed,total_reads_observed_across_dataset
Fungi;Mucoromycota;Glomeromycetes;Diversisporales;Gigasporaceae;Gigaspora;Gigaspora margarita,1,1
Plantae;Chlorophyta;Trebouxiophyceae,23,321
Chromista;Ciliophora;Nassophorea;Synhymeniida;Scaphidiodontidae;Chilodontopsis;Chilodontopsis depressa,15,1682
Chromista;Apicomplexa;Conoidasida;Eugregarinorida;Cephaloidophoridae;Cephaloidophora;Cephaloidophora sp. KCW-2020b,12,12
Plantae;Streptophyta;Magnoliopsida;Asparagales;Hyacinthaceae;Drimia;Drimia convallarioides,2,3
Animalia;Nematomorpha;Gordioida;Chordodea;Chordodidae;Chordodes;Chordodes sp. BSG-2002,11,11
Animalia;Arthropoda;Insecta,26,151
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;NA;Erythrobacteraceae bacterium,3,3
Protozoa;Cryptomycota;NA;NA;NA;Paramicrosporidium;Paramicrosporidium sp.,20,1981
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. 31sr,3,3
Chromista;Ciliophora;Spirotrichea;Sporadotrichida;Oxytrichidae;Laurentiella;Laurentiella strenua,2,2
Animalia;Cnidaria;Anthozoa;Scleractinia;Merulinidae;Oulophyllia;Oulophyllia bennettae,2,2
Chromista;NA;Dinophyceae;Syndiniales;NA;Ichthyodinium,2,2
Animalia;Chordata;Mammalia;Pholidota;Manidae;Manis;Manis javanica,1,1
Plantae;Streptophyta;Magnoliopsida;Rosales;Rhamnaceae;Phylica,2,2
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporaceae;Decorospora;Decorospora gaudefroyi,1,1
Chromista;NA;Dinophyceae;Thoracosphaerales;Thoracosphaeraceae;Thoracosphaera;Thoracosphaera heimii,4,4
Animalia;Nemertea;Pilidiophora;Heteronemertea;NA;NA;Heteronemertea sp. MCZ IZ 45556,3,3
Animalia;Arthropoda;Malacostraca;Amphipoda;Caprellidae;Caprella,1,1
Chromista;Ciliophora;Oligohymenophorea;Hymenostomatida;Turaniellidae;Colpidium,3,45
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp.,2,2
Chromista;Ciliophora;Spirotrichea;Tintinnida;Metacylididae;Rhizodomus;Rhizodomus tagatzi,1,1
Chromista;Apicomplexa;Aconoidasida;Piroplasmida;Babesiidae;Babesia,1,1
Animalia;Porifera;Hexactinellida;Lyssacinosida;Rossellidae;Sympagella;Sympagella delauzei,1,1
Plantae;Streptophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Tragia;Tragia mexicana,2,2
Plantae;Streptophyta;Magnoliopsida;Gentianales;Gentianaceae;Swertia;Swertia chirayita,1,1
Chromista;NA;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;Cryptomonas,122,26952
Protozoa;NA;NA;Ancyromonadida;Ancyromonadidae;Ancyromonas;Ancyromonas sigmoides,2,2
Chromista;NA;Cryptophyceae;Cryptomonadales;Cryptomonadaceae;Cryptomonas;Cryptomonas sp. CCAC 0109,7,20
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium pratense,9,69
Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas,2,2
