taxonomic_path	common_name	% samples positive in project
Animalia;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae	Calanoid Copepods	40.65
Chromista;Ciliophora;Spirotrichea;NA;Tontoniidae;Pseudotontonia;Pseudotontonia sp. JG-2011a	Ciliates	20.33
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira punctigera	Diatom	21.95
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium excentricum	Dinoflagellates	22.76
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum gracile	Dinoflagellates	9.76
Chromista;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Aplanochytrium;Aplanochytrium sp. S1a	Chromists	60.16
Chromista;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium sp.	Ciliates	20.33
Chromista;Apicomplexa;Conoidasida;Archigregarinorida;Selenidiidae	Chromists	23.58
Animalia;Arthropoda	Arthropod	33.33
Bacteria;Pseudomonadota;Gammaproteobacteria;NA;NA;NA;SAR86 cluster bacterium	Γ-proteobacteria	38.21
Chromista;NA;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium	Dinoflagellates	72.36
Plantae;Streptophyta;Magnoliopsida;Vitales;Vitaceae	Grape family	98.37
Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Polystyrenella;Polystyrenella longa	Bacteria	4.88
Fungi;Basidiomycota;Tritirachiomycetes;Tritirachiales;Tritirachiaceae;Tritirachium;Tritirachium oryzae	Basidio's	0.81
Chromista;Apicomplexa;Conoidasida;Eugregarinorida;Cephaloidophoridae;Cephaloidophora;Cephaloidophora cf. communis	Chromists	65.04
Chromista;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Rimostrombidium;Rimostrombidium veniliae	Ciliates	20.33
