taxonomic_path	common_name	% samples positive in project
Chromista;NA;Dinophyceae;Suessiales;Symbiodiniaceae	Dinoflagellates	22.76
Bacteria;Pseudomonadota;Gammaproteobacteria;NA;NA;NA;SAR86 cluster bacterium	Γ-proteobacteria	60.16
Chromista;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca;Aspidisca steini	Ciliates	16.26
Protozoa;Euglenozoa;Euglenida;Petalomonadida;Scytomonadidae;Petalomonas;Petalomonas sphagnophila	Euglenoids	6.5
Chromista;Ciliophora;Oligohymenophorea;Hymenostomatida	""	60.16
Chromista;Ciliophora;Spirotrichea;Urostylida;Urostylidae;Extraholosticha;Extraholosticha sp.	""	0.81
Animalia;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae	Arthropod	54.47
Chromista;NA;Eustigmatophyceae;Eustigmatales;Monodopsidaceae	Chromists	36.59
Chromista;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Aplanochytrium;Aplanochytrium sp. S1a	Chromists	69.92
Animalia;Arthropoda;Thecostraca;Pollicipedomorpha;Pollicipedidae;Pollicipes;Pollicipes polymerus	Leaf barnacle	13.01
Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;NA;NA;unidentified planctomycete	""	22.76
Animalia;Arthropoda;Hexanauplia;Calanoida;Centropagidae;Sinocalanus	Calanoid Copepods	30.89
Chromista;NA;Cryptophyceae;Cryptomonadales;Hemiselmidaceae;Hemiselmis;Hemiselmis cryptochromatica	Cryptomonads	32.52
Chromista;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp.	Dinoflagellates	84.55
Animalia;Arthropoda;Hexanauplia;Calanoida;Centropagidae;Centropages;Centropages orsinii	Calanoid Copepods	1.63
Chromista;Oomycota	Water molds	65.04
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Conticribra;Conticribra guillardii	Diatoms	14.63
Chromista;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Heterosigma;Heterosigma akashiwo	Brown algae	59.35
Chromista;NA;Bigyra;Oblongichytrida;NA;Oblongichytrium;Oblongichytrium sp. SEK 347	Oblongichytrium sp. SEK 347	8.94
Animalia;Chordata	""	85.37
Bacteria;Verrucomicrobia	Bacteria	18.7
Chromista;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Geminigera;Geminigera cryophila	Cryptomonads	54.47
Chromista;Cercozoa	Chromists	72.36
Chromista;Cercozoa;Thecofilosea;Cryomonadida;Rhogostomidae;Rhogostoma;Rhogostoma schuessleri	Chromists	27.64
Chromista;Oomycota;NA;Pythiales;Pythiaceae;Pythium;Pythium terrestris	Water molds	15.45
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae	""	6.5
Chromista;Ciliophora;Spirotrichea;Sporadotrichida;Oxytrichidae;Laurentiella;Laurentiella strenua	Ciliates	2.44
Plantae;Rhodophyta;Florideophyceae	Red algae	66.67
Chromista;Ciliophora;Phyllopharyngea;Chlamydodontida;Chlamydodontidae;Chlamydodon;Chlamydodon obliquus	Ciliates	28.46
Chromista;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya	Dinoflagellates	92.68
Chromista;NA;Dinophyceae;NA;NA;NA;Dinophyceae sp.	Dinoflagellates	60.98
Fungi;Ascomycota;Dothideomycetes;Pleosporales	""	26.83
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira profunda	""	11.38
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros	Diatoms	74.8
Chromista;Ciliophora;Phyllopharyngea;Chlamydodontida;Lynchellidae	""	13.82
Chromista;Bacillariophyta;Coscinodiscophyceae;Paraliales;Paraliaceae;Paralia;Paralia sol	Diatoms	47.15
Chromista;NA;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium	Dinoflagellates	78.86
Chromista;Ciliophora;Oligohymenophorea;Sessilida;Vorticellidae;Vorticella;Vorticella campanula	""	0.81
Animalia;Cnidaria;Hydrozoa;Trachymedusae;Rhopalonematidae	Hydralike animals	9.76
Animalia;Annelida;Polychaeta;Terebellida;Ampharetidae	Paddle-footed annelids	13.82
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira delicatula	Diatoms	47.15
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Vanrija	""	6.5
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae	""	4.07
Chromista;Ciliophora;Spirotrichea;Stichotrichida;Epiclintidae;Epiclintes;Epiclintes auricularis	Ciliates	13.82
Chromista;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium sp.	Ciliates	35.77
Fungi;Basidiomycota;Microbotryomycetes;Leucosporidiales;Leucosporidiaceae;Leucosporidium;Leucosporidium sp.	""	4.88
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos	Green algae	42.28
Chromista;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina	Haptophytes	42.28
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium claudicans	Dinoflagellates	17.89
Animalia;Mollusca;Bivalvia;Cardiida;Psammobiidae;Hiatula;Hiatula diphos	Diphos sanguin	27.64
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;Pfiesteria;Pfiesteria piscicida	Phantom Dinoflagellate	30.08
Plantae;Chlorophyta;Mamiellophyceae;Dolichomastigales;Crustomastigaceae;Crustomastix;Crustomastix stigmatica	Green algae	85.37
Chromista;NA;Phaeophyceae	Brown algae	73.17
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	Diatoms	68.29
Plantae;Streptophyta;Magnoliopsida	Dicots	100.0
Protozoa;Euglenozoa;Kinetoplastea	""	42.28
Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Wenzhouxiangellaceae;Wenzhouxiangella;Wenzhouxiangella sp.	""	2.44
Chromista;Apicomplexa;Conoidasida;Eucoccidiorida;Sarcocystidae;Sarcocystis;Sarcocystis sp.	Chromists	37.4
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Amylibacter;Amylibacter ulvae	""	6.5
Chromista;Ciliophora;Spirotrichea;Euplotida;Uronychiidae	Ciliates	65.04
Chromista;NA;Synurophyceae;Synurales;Mallomonadaceae;Synura	""	30.89
Chromista;NA;Dinophyceae;Gonyaulacales;Protoceratiaceae;Protoceratium;Protoceratium reticulatum	Dinoflagellates	16.26
Animalia;Arthropoda;Thecostraca	Arthropod	39.02
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus	Diatoms	86.99
Chromista;Bacillariophyta;Coscinodiscophyceae;Rhizosoleniales;Rhizosoleniaceae	Diatoms	9.76
Animalia;Annelida;Polychaeta;Phyllodocida;Hesionidae	Scale Worm	17.07
Animalia;Bryozoa;Gymnolaemata;Ctenostomatida;Alcyonidiidae;Alcyonidium;Alcyonidium gelatinosum	Gelatinous bryozoan	69.92
Chromista;NA;Dinophyceae;Gymnodiniales;Kareniaceae;Karenia	Dinoflagellates	60.98
